accuracy	aimTime	alpha1	alpha2	alpha3	backwardSpeed	bigImage	caliber	class	dpm1	dpm2	dpm3	forwardSpeed	gunDepression	gunElevation	hp	image	intraClipReload	isPrem	maxAmmo	name	nation	pen1	pen2	pen3	potentialDamage	power	reload	shell1	shell2	shell3	shellVelocity1	shellVelocity2	shellVelocity3	specificPower	tank_id	tier	traverseSpeed	turretTraverseDispersion	turretTraverseSpeed	vehicleMovementDispersion	vehicleRotationDispersion	viewRange	weight
0.3	1.7	480	480	620	12	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB152_AT_FV230_Breaker.png	123	TD	3555.5555555555557	3555.5555555555557	4592.592592592593	20	10	20	2150	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB152_AT_FV230_Breaker.png		False	60	Breaker	UK	278	326	130	28800	750	8.1	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1000	1250	1000	10.760401721664275	24401	11	22	0.06	16	0.25	0.25	390	69700
0.35	2.5	800	800	800	15	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl29_NC_Wz_70T.png	85	TD	3503.6496350364964	3503.6496350364964	3503.6496350364964	45	7	15	2000	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl29_NC_Wz_70T.png		False	60	Błyskawica	Poland	292	321	85	48000	900	13.7	ARMOR_PIERCING_CR	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1700	2000	1000	16.453382084095065	7057	10	30	0.08	26	0.18	0.18	370	54700
0.29	3	390	390	480	46	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/sweden-S36_Strv_107_12.png	105	TD	3492.5373134328356	3492.5373134328356	4298.507462686567	51	1	0	1950	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/sweden-S36_Strv_107_12.png		False	50	Strv 107-12	Sweden	314	356	53	19500	850	6.7	ARMOR_PIERCING_CR	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1500	1450	680	19.90632318501171	6017	11	35	0	16	0.39	0.11	360	42700
0.3	1.7	480	480	620	12	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB92_FV217.png	123	TD	3388.235294117647	3388.235294117647	4376.470588235294	30	10	20	2100	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB92_FV217.png		False	60	Badger	UK	272	320	130	28800	1050	8.5	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1000	1250	1000	16.228748068006183	15953	10	25	0.06	16	0.26	0.26	390	64700
0.31	1.7	400	400	515	10	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB32_Tortoise.png	120	TD	3380.2816901408455	3380.2816901408455	4352.112676056338	20	10	20	1850	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB32_Tortoise.png		False	50	Tortoise	UK	259	326	120	20000	810	7.1	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1067	1334	1067	10.577450442685889	52561	9	22	0.06	26	0.26	0.26	390	76578
0.33	1.7	320	320	420	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R144_K_91.png	100	MT	3368.4210526315787	3368.4210526315787	4421.052631578947	55	9	20	1950	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R144_K_91.png		False	50	K-91	USSR	276	330	50	16000	860	5.7	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1700	950	800	19.23937360178971	21761	10	50	0.1	45	0.14	0.1	410	44700
0.3	3	390	390	480	45	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/sweden-S11_Strv_103B.png	105	TD	3342.8571428571427	3342.8571428571427	4114.285714285714	50	1	1	1800	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/sweden-S11_Strv_103B.png		False	50	Strv 103B	Sweden	308	350	53	19500	900	7	ARMOR_PIERCING_CR	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1500	1450	680	22.5	4737	10	35	0	16	0.4	0.1	360	40000
0.35	2.5	360	360	460	25	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G159_KPZ_3_Project_07_HK.png	105	TD	3323.076923076923	3323.076923076923	4246.153846153846	65	3	17	1700	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G159_KPZ_3_Project_07_HK.png		True	60	KPz 3 Pr.07HK	Germany	268	320	120	21600	900	6.5	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1480	1020	1020	23.544800523217788	25873	9	28	0.05	16	0.06	0.06	350	38225
0.35	1.9	340	340	420	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R97_Object_140.png	100	MT	3238.095238095238	3238.095238095238	4000	55	7	17	1950	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R97_Object_140.png		False	50	Obj. 140	USSR	264	330	50	17000	700	6.3	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1535	1000	900	19.607843137254903	16897	10	54	0.1	40	0.08	0.08	400	35700
0.38	2.7	800	800	800	15	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl28_SDP_Wz_60.png	85	TD	3200	3200	3200	42	7	15	1800	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl28_SDP_Wz_60.png		False	45	Gonkiewicza	Poland	292	321	85	36000	780	15	ARMOR_PIERCING_CR	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1700	2000	1000	15.694164989939638	6033	9	30	0.08	26	0.21	0.21	360	49700
