base_capture_points	base_defense_points	base_xp	battles	big_image	class	damage	damage_blocked	damage_received	direct_hits	distance_traveled	frags	hit_rate	image	isPrem	life_time	name	nation	pen_rate	penetrations	player_winrate	player_wn8	potential_damage_received	shots_fired	sniper_damage	spots	spotting_assist	survival	tank_id	tier	tracking_assist	winrate	winrate_differential	wn8	wnx
0.78	0.15	571	6072745	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R45_IS-7.png	HT	1932	1308	2273	6.55	1320	0.7	79.24	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R45_IS-7.png	False	293	IS-7	USSR	63.28	4.14	50.01	1369	3559	8.26	196	1.15	417	27.9	7169	10	71	49.83	-0.18	1502	1329
0.42	0.28	509	4220787	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/germany-G89_Leopard1.png	MT	1909	105	1619	6.5	1566	0.79	72.07	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G89_Leopard1.png	False	299	Leopard 1	Germany	74.02	4.81	50.52	1446	1679	9.02	892	0.88	431	27.03	14609	10	75	49.17	-1.35	1426	1331
0.54	0.19	464	4204491	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/germany-G121_Grille_15_L63.png	TD	1817	13	1453	3.86	1192	0.75	67.89	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G121_Grille_15_L63.png	False	325	Grille 15	Germany	70	2.7	50.06	1305	1285	5.69	1077	0.33	214	31.87	19217	10	58	48.93	-1.13	1196	1251
0.61	0.25	486	3351942	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R159_SU_130PM.png	TD	1365	2	872	3.92	1145	0.86	62.61	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R159_SU_130PM.png	True	327	SU-130PM	USSR	75.72	2.97	49.87	1324	819	6.26	743	0.3	161	32.32	45057	8	38	49.51	-0.36	1297	1275
0.44	0.1	450	3246873	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/uk-GB48_FV215b_183.png	TD	1464	415	1617	2.14	894	0.7	60.82	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB48_FV215b_183.png	True	318	FV215b 183	UK	50.97	1.09	49.51	1164	1955	3.51	677	0.26	185	31.34	9297	10	34	49.38	-0.13	929	978
0.64	0.18	581	3225122	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/usa-A69_T110E5.png	HT	2068	1215	2102	8.49	1286	0.75	78.39	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A69_T110E5.png	False	291	T110E5	USA	64.12	5.45	50.91	1554	3312	10.83	282	1.01	382	27.3	10785	10	66	49.98	-0.93	1557	1460
1.15	0.12	557	2661308	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/germany-G42_Maus.png	HT	1791	2053	2797	6.52	1087	0.64	79.05	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G42_Maus.png	False	313	Maus	Germany	59.16	3.86	50.03	1322	4861	8.25	210	0.55	389	31.32	6929	10	63	49.29	-0.74	1250	1140
0.39	0.27	534	2567977	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/france-F18_Bat_Chatillon25t.png	MT	1916	101	1625	6.9	1740	0.93	77.54	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F18_Bat_Chatillon25t.png	False	272	B-C 25 t	France	76.2	5.26	51.14	1560	1682	8.9	637	1.36	565	23.42	3649	10	73	50.14	-1	1565	1505
0.55	0.17	627	2476555	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R228_KR_1.png	HT	2472	1808	2632	7.55	1411	0.85	80.82	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R228_KR_1.png	False	294	KR-1	USSR	62.19	4.69	51.25	1629	4381	9.34	209	1.45	479	27.26	67585	11	68	49.55	-1.7	1499	1480
0.83	0.36	504	2407730	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/sweden-S11_Strv_103B.png	TD	2019	505	1382	7.57	1195	0.81	70.61	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/sweden-S11_Strv_103B.png	False	342	Strv 103B	Sweden	72.22	5.47	50.6	1409	1821	10.72	1162	0.42	276	36.24	4737	10	85	49.93	-0.67	1376	1464
