accuracy	aimTime	alpha1	alpha2	alpha3	backwardSpeed	base_capture_points	base_defense_points	base_xp	battles	bigImage	big_image	caliber	class	damage	damage_blocked	damage_received	direct_hits	distance_traveled	dpm1	dpm2	dpm3	forwardSpeed	frags	gunDepression	gunElevation	hit_rate	hp	image	intraClipReload	isPrem	life_time	maxAmmo	name	nation	pen1	pen2	pen3	pen_rate	penetrations	player_winrate	player_wn8	potentialDamage	potential_damage_received	power	reload	shell1	shell2	shell3	shellVelocity1	shellVelocity2	shellVelocity3	shots_fired	sniper_damage	specificPower	spots	spotting_assist	survival	tank_id	tier	tracking_assist	traverseSpeed	turretTraverseDispersion	turretTraverseSpeed	vehicleMovementDispersion	vehicleRotationDispersion	viewRange	weight	winrate	winrate_differential	wn8	wnx
0.38	2.1	75	75	90	20	1.22	0.41	193	7817	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl06_10TP.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl06_10TP.png	47	LT	288	27	375	6.71	934	1000	1000	1200	50	0.48	12	20	65.31	410	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl06_10TP.png		False	193	190	10TP	Poland	63	82	24	68.52	4.6	47.61	856	14250	389	220	4.5	ARMOR_PIERCING	ARMOR_PIERCING	HIGH_EXPLOSIVE	782	782	660	10.28	32	17.77059773828756	0.8	53	19.64	1681	3	15	45	0.12	36	0.2	0.2	310	12380	47.26	-0.35	1030	933
0.35	2.1	320	320	420	15	0.85	0.12	500	49929	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch11_110.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/china-Ch11_110.png	100	HT	1159	571	1603	5.72	1169	2258.823529411765	2258.823529411765	2964.705882352941	47	0.61	6	15	74.7	1700	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch11_110.png		False	272	40	110	China	227	265	50	63.43	3.63	48.39	1170	12800	2201	700	8.5	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	950	1188	950	7.65	141	13.946445648708957	1.01	257	22.78	2865	8	42	34	0.08	30	0.18	0.18	380	50192	48.45	0.06	1254	1242
0.44	3	390	390	530	15	0.99	0.08	486	15949	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch23_112.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/china-Ch23_112.png	122	HT	963	1019	1424	4.71	1134	1857.142857142857	1857.142857142857	2523.809523809524	45	0.52	6	17	71.51	1500	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch23_112.png		True	265	45	112	China	196	250	61	56.34	2.66	48.89	1102	17550	2485	580	12.6	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	800	720	800	6.59	94	12.684527063969382	1.04	279	21.06	64561	8	37	26	0.12	26	0.23	0.23	380	45725	47.04	-1.85	951	888
0.37	2.8	440	440	530	15	0.51	0.16	550	33448	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch22_113.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/china-Ch22_113.png	122	HT	1833	1037	2205	6.97	1312	2640	2640	3180	50	0.64	7	18	77	2300	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch22_113.png		False	275	34	113	China	249	340	68	62.97	4.39	50.94	1496	14960	3220	750	10	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	950	950	950	9.05	214	16.778523489932887	1.22	388	23.4	5425	10	60	36	0.08	26	0.18	0.18	400	44700	48.9	-2.04	1409	1282
0.37	2.8	440	440	530	15	0.6	0.09	471	219977	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch22_113_Beijing_Opera.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/china-Ch22_113_Beijing_Opera.png	122	HT	1205	884	2224	5.32	1206	2640	2640	3180	50	0.42	7	18	73.36	2300	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch22_113_Beijing_Opera.png		True	266	34	113 BO	China	249	340	68	54.22	2.89	47.26	885	14960	3101	750	10	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	950	950	950	7.26	158	16.778523489932887	0.97	329	19.33	62513	10	50	36	0.08	26	0.18	0.18	400	44700	44.23	-3.03	722	679
0.32	2	650	650	840	18	0.43	0.35	583	46423	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch44_114_SP2.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/china-Ch44_114_SP2.png	152	TD	2896	168	1523	6.28	1293	2708.3333333333335	2708.3333333333335	3500.0000000000005	45	1.22	7	20	70.31	2000	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch44_114_SP2.png		True	350	35	114 SP2	China	273	329	90	77.25	4.85	55.65	2332	22750	1649	980	14.4	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1050	1250	760	8.94	1460	15.629984051036683	0.38	273	41.85	60977	10	73	30	0.12	18	0.2	0.2	390	62700	55.65	0	2155	2322
0.42	2.9	530	530	640	20	0.35	0.28	670	1963	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch52_WZ_122_6_F3.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/china-Ch52_WZ_122_6_F3.png	130	HT	2955	1551	1959	7.65	1425	1907.9999999999998	1907.9999999999998	2304	35	0.99	8	20	84.48	2100	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch52_WZ_122_6_F3.png	5	True	303	42	116-F3	China	266	325	65	77.45	5.92	56.12	2484	22260	3466	840	40	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	950	1350	930	9.05	309	14.558058925476603	1.24	447	31.79	59441	10	105	23	0.15	26	0.25	0.25	400	57700	57.11	0.99	2422	2432
0.35	2.3	440	440	530	20	0.56	0.2	524	63959	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch19_121.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/china-Ch19_121.png	122	MT	1775	595	1847	6.16	1483	2808.5106382978724	2808.5106382978724	3382.978723404255	56	0.72	5	15	73.05	2050	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch19_121.png		False	284	40	121	China	262	340	68	69.58	4.28	50.21	1382	17600	2413	650	9.4	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1115	907	907	8.43	433	16.795865633074936	1.04	472	25.31	4145	10	62	50	0.1	40	0.14	0.14	400	38700	49.12	-1.09	1355	1253
0.33	2.2	390	390	480	25	0.48	0.18	497	405385	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch25_121_mod_1971B.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/china-Ch25_121_mod_1971B.png	105	MT	1537	538	1762	6.17	1479	2888.8888888888887	2888.8888888888887	3555.5555555555557	55	0.63	5	18	71.57	1950	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch25_121_mod_1971B.png		True	280	50	121B	China	261	350	105	67.22	4.15	49.29	1217	19500	2279	700	8.1	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1478	1173	732	8.63	451	17.632241813602015	1.03	479	23.3	63537	10	58	50	0.1	42	0.14	0.14	420	39700	47.39	-1.9	1087	1086
0.33	2.3	400	400	515	15	0.78	0.18	483	423477	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch43_WZ_122_2.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/china-Ch43_WZ_122_2.png	120	MT	1166	605	1208	4.41	1311	1371.4285714285713	1371.4285714285713	1765.7142857142856	50	0.67	8	15	72.95	1400	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch43_WZ_122_2.png		True	297	30	122 TM	China	233	299	62	71.97	3.17	49.33	1222	12000	1858	580	17.5	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1368	907	722	6.04	278	15.59223614172805	0.76	305	28.27	65329	8	34	40	0.15	30	0.2	0.2	370	37198	50.21	0.88	1187	1093
