class,accuracy,aimTime,alpha1,alpha2,alpha3,backwardSpeed,base_capture_points,base_defense_points,base_xp,battles,caliber,damage,damage_blocked,damage_received,direct_hits,distance_traveled,dpm1,dpm2,dpm3,forwardSpeed,frags,gunDepression,gunElevation,hit_rate,hp,intraClipReload,isPrem_False,isPrem_True,life_time,maxAmmo,pen1,pen2,pen3,pen_rate,penetrations,player_winrate,player_wn8,potentialDamage,potential_damage_received,power,reload,shell1_ARMOR_PIERCING,shell1_ARMOR_PIERCING_CR,shell1_HIGH_EXPLOSIVE,shell1_HOLLOW_CHARGE,shell2_ARMOR_PIERCING,shell2_ARMOR_PIERCING_CR,shell2_HIGH_EXPLOSIVE,shell2_HOLLOW_CHARGE,shell3_ARMOR_PIERCING,shell3_HIGH_EXPLOSIVE,shell3_HOLLOW_CHARGE,shellVelocity1,shellVelocity2,shellVelocity3,shots_fired,sniper_damage,specificPower,spots,spotting_assist,survival,tank_id,tier,tracking_assist,traverseSpeed,turretTraverseDispersion,turretTraverseSpeed,vehicleMovementDispersion,vehicleRotationDispersion,viewRange,weight,winrate,winrate_differential,wn8,wnx
LT,0.18604651162790695,0.1694915254237288,0.05866900175131348,0.03956422018348624,0.04267589388696655,0.23728813559322035,0.19966996699669964,0.14855072463768115,0.13829787234042554,0.001269136050495378,0.16839021027231987,0.033658310120705665,0.008364312267657992,0.09054593874833555,0.04399182251836147,0.2717699473471041,0.1250914411119239,0.1250914411119239,0.11231506263484389,0.5588235294117647,0.11042944785276074,0.5238095238095238,0.2222222222222222,0.7042579450786794,0.08544303797468354,,1,0,0.1642512077294686,0.0662202380952381,0.14915254237288136,0.11979166666666667,0.03867403314917127,0.7776291793313069,0.05346889952153109,0.33148614609571775,0.0675787728026534,0.14333781965006728,0.04439403758911212,0.09329140461215933,0.051418439716312055,1,0,0,0,1,0,0,0,0,1,0,0.36027874564459933,0.28604923798358733,0.4191033138401559,0.02977210418094585,0.01990391214824983,0.27065142016998844,0.20680628272251309,0.027233115468409588,0.2210070631123263,0.024294308190652477,0.2,0.08527131782945736,0.5740740740740741,0.17142857142857143,0.5,0.2692307692307693,0.2692307692307693,0.37142857142857144,0.04990870359099209,0.32062084257206197,0.45526733721545787,0.2322490381252186,0.09398614609571788
HT,0.15116279069767438,0.1694915254237288,0.2732049036777583,0.18004587155963303,0.23298731257208766,0.15254237288135594,0.1386138613861386,0.043478260869565216,0.5465425531914894,0.008203852199251231,0.39675973802137193,0.23584029712163418,0.1768897149938042,0.4993342210386152,0.036495797683046866,0.3669501822600243,0.5560566289427256,0.5560566289427256,0.4910651470779027,0.5147058823529411,0.1901840490797546,0.23809523809523808,0.16666666666666666,0.8491206417772292,0.4936708860759494,,1,0,0.5458937198067633,0.010416666666666666,0.7050847457627119,0.5963541666666666,0.11049723756906077,0.7157446808510638,0.04186602870813397,0.37078085642317377,0.19776119402985073,0.12382234185733512,0.33797796500324045,0.3448637316561845,0.1223404255319149,1,0,0,0,0,1,0,0,0,1,0,0.47735191637630664,0.5240328253223916,0.7017543859649122,0.018505825908156272,0.09471516815374056,0.18128167352612257,0.2617801047120419,0.1383442265795207,0.2925495557074505,0.04141601110596946,0.7,0.29457364341085274,0.37037037037037035,0.1142857142857143,0.4,0.23076923076923075,0.23076923076923075,0.7714285714285715,0.24169202678027998,0.3733924611973394,0.47697194282689254,0.310598111227702,0.142632241813602
HT,0.25581395348837205,0.3220338983050847,0.3345008756567426,0.22018348623853212,0.2964244521337947,0.15254237288135594,0.1617161716171617,0.028985507246376815,0.5279255319148937,0.0026082581943423244,0.4915546363322992,0.1903435468895079,0.3156753407682776,0.43974700399467376,0.028848338002574393,0.35277440259214254,0.4185390322917755,0.4185390322917755,0.39643774502816076,0.4852941176470588,0.13496932515337426,0.23809523809523808,0.18888888888888888,0.7999074359765505,0.43037974683544306,,0,1,0.5120772946859904,0.012276785714285714,0.6,0.5572916666666666,0.1408839779005525,0.6295440729483283,0.030263157894736843,0.39596977329974803,0.16956882255389719,0.18775235531628534,0.38399222294232016,0.28197064989517817,0.1950354609929078,1,0,0,0,0,0,0,1,0,1,0,0.37282229965156793,0.24970691676436108,0.5555555555555556,0.01396504455106237,0.06245710363761153,0.15179086312904208,0.2696335078534031,0.1503267973856209,0.25336067441330595,0.9335955576122166,0.7,0.2558139534883721,0.2222222222222222,0.17142857142857143,0.3333333333333333,0.3269230769230769,0.3269230769230769,0.7714285714285715,0.2190353012781497,0.3108647450110864,0.37586024351508734,0.20461699895068206,0.08690176322418136
HT,0.17441860465116277,0.28813559322033894,0.37828371278458844,0.24885321100917432,0.2964244521337947,0.15254237288135594,0.08250825082508251,0.05797101449275363,0.613031914893617,0.005489873835657832,0.4915546363322992,0.3922934076137419,0.32125154894671626,0.699733688415446,0.045960475505413795,0.4248683677602268,0.6865544989027066,0.6865544989027066,0.5372726573799559,0.5588235294117647,0.20858895705521474,0.2857142857142857,0.2,0.884603517432891,0.6835443037974683,,1,0,0.5603864734299517,0.00818452380952381,0.7796610169491526,0.7916666666666666,0.16022099447513813,0.7101519756838905,0.050956937799043055,0.49924433249370254,0.33291873963515756,0.1528936742934051,0.5030784186649384,0.3710691823899371,0.14893617021276598,1,0,0,0,0,0,0,1,0,1,0,0.47735191637630664,0.38452520515826494,0.7017543859649122,0.02450308430431803,0.1448181194234729,0.24746682338865836,0.31675392670157065,0.20969498910675383,0.3066757803599909,0.07843590930124943,0.9,0.43410852713178294,0.4074074074074074,0.1142857142857143,0.3333333333333333,0.23076923076923075,0.23076923076923075,0.8857142857142857,0.2138364779874214,0.3933481152993347,0.3658020116463737,0.3648128716334383,0.1489294710327456
HT,0.17441860465116277,0.28813559322033894,0.37828371278458844,0.24885321100917432,0.2964244521337947,0.15254237288135594,0.09735973597359734,0.03260869565217391,0.5079787234042553,0.03620619385159819,0.4915546363322992,0.24651810584958217,0.2738537794299876,0.7060585885486018,0.03346710077988945,0.3819360064803564,0.6865544989027066,0.6865544989027066,0.5372726573799559,0.5588235294117647,0.0736196319018405,0.2857142857142857,0.2,0.8284480098734958,0.6835443037974683,,0,1,0.5169082125603864,0.00818452380952381,0.7796610169491526,0.7916666666666666,0.16022099447513813,0.6037689969604862,0.03301435406698564,0.3138539042821157,0.07960199004975124,0.1528936742934051,0.48379779650032406,0.3710691823899371,0.14893617021276598,1,0,0,0,0,0,0,1,0,1,0,0.47735191637630664,0.38452520515826494,0.7017543859649122,0.016835161069225495,0.10638297872340426,0.24746682338865836,0.2513089005235602,0.1775599128540305,0.21394395078605602,0.9039796390559925,0.9,0.35658914728682173,0.4074074074074074,0.1142857142857143,0.3333333333333333,0.23076923076923075,0.23076923076923075,0.8857142857142857,0.2138364779874214,0.1862527716186251,0.31339332980412915,0.12451906260930395,0.05399874055415617
TD,0.11627906976744186,0.15254237288135591,0.5621716287215411,0.36926605504587157,0.47520184544405997,0.2033898305084746,0.0693069306930693,0.12681159420289856,0.6569148936170213,0.007626508097391,0.6208204067562909,0.6390436397400185,0.05204460966542751,0.47270306258322237,0.04073597334746725,0.41717294451194814,0.7099487929773226,0.7099487929773226,0.6059526726922974,0.4852941176470588,0.5644171779141104,0.2857142857142857,0.2222222222222222,0.7813946312866399,0.5886075949367089,,0,1,0.9227053140096618,0.00855654761904762,0.8610169491525423,0.7630208333333334,0.22099447513812154,0.8837689969604863,0.05645933014354066,0.7365239294710325,0.6795190713101161,0.25773889636608344,0.24854180168502915,0.4916142557651992,0.2269503546099291,1,0,0,0,0,1,0,0,0,1,0,0.5470383275261324,0.5603751465416178,0.5165692007797271,0.0240318711446196,1.0,0.2206256632411935,0.09685863874345549,0.14705882352941177,0.7270448849396218,0.8817677001388247,0.9,0.5348837209302325,0.2962962962962963,0.17142857142857143,0.2,0.2692307692307693,0.2692307692307693,0.8285714285714286,0.30513288699533375,0.6926829268292682,0.47379565907887766,0.6257432668765303,0.3126574307304786
HT,0.23255813953488366,0.30508474576271183,0.45709281961471104,0.30045871559633025,0.35986159169550175,0.23728813559322035,0.0561056105610561,0.10144927536231886,0.7726063829787234,0.0003051393670128371,0.5260255084453637,0.6527390900649953,0.4804832713754647,0.6178428761651131,0.051109260240781405,0.47063588497367354,0.43595025603511334,0.43595025603511334,0.3492611154624215,0.3382352941176471,0.4233128834355828,0.3333333333333333,0.2222222222222222,1.0,0.620253164556962,0.4984567901234568,0,1,0.6956521739130435,0.011160714285714286,0.8372881355932204,0.7526041666666666,0.15193370165745856,0.8862006079027356,0.06925837320574162,0.7602015113350123,0.7425373134328358,0.25114401076716014,0.5429358392741412,0.41823899371069184,0.6808510638297872,1,0,0,0,0,1,0,0,0,1,0,0.47735191637630664,0.6189917936694022,0.682261208576998,0.02450308430431803,0.21002059025394645,0.1955749658189958,0.3219895287958115,0.24183006535947713,0.49783549783549785,0.8595557612216567,0.9,0.7829457364341085,0.16666666666666666,0.2142857142857143,0.3333333333333333,0.36538461538461536,0.36538461538461536,0.8857142857142857,0.2797727733820248,0.7574279379157428,0.5262043409211222,0.7191325638335082,0.32997481108312343
MT,0.15116279069767438,0.2033898305084745,0.37828371278458844,0.24885321100917432,0.2964244521337947,0.23728813559322035,0.09075907590759076,0.07246376811594205,0.5784574468085106,0.010514216645657116,0.4915546363322992,0.3788300835654596,0.18432465923172242,0.5805592543275633,0.039827364276520026,0.4941271769947347,0.7442450466155115,0.7442450466155115,0.5808369756033426,0.6470588235294118,0.25766871165644173,0.19047619047619047,0.16666666666666666,0.8236655353286022,0.6044303797468354,,1,0,0.6038647342995169,0.010416666666666666,0.823728813559322,0.7916666666666666,0.16022099447513813,0.7905167173252279,0.049641148325358854,0.46246851385390425,0.28565505804311775,0.18842530282637954,0.3723266364225535,0.31865828092243187,0.13829787234042554,1,0,0,0,0,0,0,1,0,1,0,0.5923344947735192,0.3593200468933177,0.6598440545808967,0.021847155586017818,0.29512697323266984,0.24787210615528527,0.2696335078534031,0.25544662309368193,0.35019366598313967,0.05992596020360944,0.9,0.4496124031007752,0.6666666666666666,0.14285714285714288,0.5666666666666667,0.15384615384615388,0.15384615384615388,0.8857142857142857,0.1834043416514506,0.4031042128603103,0.41609317098994175,0.3459251486533753,0.1443639798488665
MT,0.12790697674418605,0.1864406779661017,0.3345008756567426,0.22018348623853212,0.2675893886966551,0.3220338983050847,0.07755775577557755,0.06521739130434782,0.5425531914893617,0.06673791525425124,0.4183040330920372,0.32358402971216343,0.16666666666666666,0.5522636484687083,0.03990308169909896,0.49250708788983394,0.7717629846378931,0.7717629846378931,0.6178762864618009,0.6323529411764706,0.20245398773006137,0.19047619047619047,0.2,0.8008330762110458,0.5727848101265823,,0,1,0.5845410628019324,0.014136904761904762,0.8203389830508474,0.8177083333333334,0.26243093922651933,0.7618237082066869,0.04808612440191388,0.41612090680100744,0.21724709784411278,0.21399730820995963,0.3506156837329877,0.3448637316561845,0.11524822695035461,0,1,0,0,0,0,0,1,0,1,0,0.8452961672473868,0.515240328253224,0.48927875243664715,0.0227039067854695,0.3074811256005491,0.26741806709035515,0.2670157068062827,0.25925925925925924,0.304397357028936,0.9187875983341046,0.9,0.4186046511627907,0.6666666666666666,0.14285714285714288,0.6,0.15384615384615388,0.15384615384615388,1.0,0.1884763643741124,0.3263858093126386,0.3732133403917416,0.2521860790486184,0.11807304785894207
MT,0.12790697674418605,0.2033898305084745,0.3432574430823117,0.22591743119266056,0.2877739331026528,0.15254237288135594,0.12706270627062705,0.06521739130434782,0.523936170212766,0.0697171820799373,0.48293691830403307,0.23746518105849582,0.18742255266418836,0.3678428761651132,0.026576815325206334,0.4244633454840016,0.2522520639565262,0.2522520639565262,0.2337315182763044,0.5588235294117647,0.2269938650306749,0.3333333333333333,0.16666666666666666,0.8221228016044431,0.3987341772151899,,0,1,0.6666666666666666,0.006696428571428571,0.7254237288135593,0.6848958333333334,0.143646408839779,0.8195744680851064,0.03636363636363636,0.4181360201511333,0.2193200663349917,0.11305518169582772,0.28240440699935193,0.28197064989517817,0.28191489361702127,0,1,0,0,0,0,0,1,0,1,0,0.7686411149825784,0.3593200468933177,0.47953216374269003,0.011608978752570253,0.18874399450926563,0.21974350138878138,0.1963350785340314,0.1644880174291939,0.41763499658236497,0.9447015270708006,0.7,0.23255813953488372,0.48148148148148145,0.2142857142857143,0.4,0.2692307692307693,0.2692307692307693,0.7142857142857143,0.17578616352201257,0.45144124168514416,0.5203811540497618,0.28716334382651276,0.11917506297229219
